r/fwhm runbiw_local runbiw_local_err runbiw_fullframe runbiw_fullframe_err runbiw_fullframe_2.1 runbiw_fullframe_err_2.1 runbiw_int_ff_2.1 runbiw_int_ff_err_2.1
0.0 0.9546577325763922 0.08871068875754351 0.9522000637793022 0.08365238200985986 1.0020595231913374 0.11954014956693076 0.8052089203572987 0.1106385463579291
0.02 0.9935719291691487 0.054342475666450965 0.9958533054748855 0.04752709131027373 0.9724444975773346 0.05514646005378039 0.7875445945453688 0.10214602601827016
0.04 0.9642282997257167 0.03172578407026107 0.9730794205996959 0.03508736337094651 0.9674307446796622 0.03798128500614461 0.7670488253433143 0.06207945862132812
0.06 0.9530081299092027 0.04140269972148294 0.9670778670917046 0.03506638740737703 0.9683474837674027 0.034216084907159834 0.7712748930183416 0.04615226467276651
0.08 0.9468723461894201 0.02963780860823539 0.9713209546420555 0.0371961213522865 0.9597280877798539 0.032904057312316076 0.7583596082400372 0.045154816370589865
0.1 0.9307615704227891 0.026506252181846657 0.94203550841914 0.03076711755252424 0.9416584848998338 0.03219937539315261 0.7791853189933332 0.044315292702151725
0.12 0.9067119150110531 0.027730794458075525 0.9085479551572906 0.032140526572346055 0.9228061625723482 0.029992872062879625 0.7570143716301708 0.04016632646776844
0.14 0.9058177625881902 0.023413677393933876 0.903096966037512 0.027140415030795135 0.8884486934426848 0.0291017720609242 0.7309550539805718 0.03675622909932222
0.16 0.8760804440433748 0.02110585792691555 0.882424571270514 0.028784764470570903 0.8873315116103201 0.028390869679333196 0.7325494397615346 0.03205332331761661
0.18 0.8556859900750291 0.020724406582774735 0.8582387071487714 0.027970552181451894 0.8663607265773984 0.029182636154944326 0.7388039202516495 0.036194262268281936
0.2 0.8330800264335797 0.026617113979657797 0.8345883512131431 0.027263408188434094 0.8286051452422649 0.029958052866878283 0.6937816483166389 0.03174889440814715
0.22 0.810503179271769 0.022459108374195177 0.7998418408444105 0.025252612524155553 0.8045059883160703 0.026128610649940875 0.6775621590253744 0.03122788812444815
0.24 0.786947228479922 0.022304295004626842 0.7918261025186479 0.02842319226960759 0.7804892516373353 0.025996809074145696 0.6697307799769178 0.028333103252535935
0.26 0.7749063879033852 0.02194529483448026 0.7860233603650151 0.02793751734562424 0.7989696184141182 0.02612681201559776 0.6545667021830046 0.02942281266735349
0.28 0.749117429284247 0.02174725020603017 0.7614530053779365 0.025277237318666337 0.7536889940017507 0.02365738345298462 0.6737763838664688 0.027998870593628836
0.3 0.7278997541774249 0.020869217021313342 0.7396901055250528 0.024025860181155025 0.7353108628734746 0.024587694273747355 0.6472510044400356 0.02706278305963007
0.32 0.6978061412934706 0.02117412344924019 0.704353721084047 0.02453498781167323 0.7043764322917778 0.02352724351887335 0.6177886262088265 0.028006232995928
