r/fwhm psf_int psf_iter psf_iter_err
0.0 1.0 1.0108527513577128 0.05026277686438182
0.02 0.9952813366354379 0.9912482149573687 0.04088393043107762
0.04 0.9879043080803296 0.9935868997615253 0.04062231321794381
0.06 0.9801127389653614 0.9727892208213123 0.02833598021905104
0.08 0.972532777231702 0.9794375819856249 0.03779571819495413
0.1 0.9641747701735607 0.9581714768079198 0.030491888083635184
0.12 0.9538728322155522 0.9242819499551191 0.025458415800996437
0.14 0.9412615043084115 0.9183943940892216 0.03468309305283369
0.16 0.9264326953165206 0.8944911109310275 0.02796026947275764
0.18 0.9095213418013961 0.8553426882755647 0.028887937081464563
0.2 0.8912577723331772 0.8382402079468415 0.026609865017542825
0.22 0.8733349043380344 0.8295894083796698 0.02628757711275757
0.24 0.8573125869247915 0.8351149853506914 0.026626978125846558
0.26 0.843097054573123 0.789149007510669 0.02601539432245737
0.28 0.8289247372675532 0.7835904766153114 0.02194676873514915
0.3 0.8129847793139878 0.7456847733181755 0.02362522425810872
0.32 0.7948696312204275 0.7157217743694458 0.022675137169411694
0.34 0.7754580480846386 0.7120805531684118 0.021655980535827585
0.36 0.7557870555382752 0.6920633316877665 0.020919166854785315
0.38 0.7362574041684443 0.6499566774172851 0.020664743324034895
0.4 0.7165987589619701 0.6210348013125964 0.019628647267307415
0.42 0.696240778018023 0.6129165102689931 0.021636958234314198
0.44 0.6748109794295603 0.5918829544070032 0.02005212013448524
0.46 0.6525373817948238 0.5613211189111481 0.019623296535466524
0.48 0.6301872661913764 0.5302241150502653 0.018137479771878393
0.5 0.6084257644104724 0.4890107057059516 0.01917213041110227
0.52 0.5871473244806246 0.4724878040835653 0.016729714819400842
0.54 0.5655277636562033 0.42732043144848053 0.01643309230557986
0.56 0.5428194926372436 0.4061744702831838 0.015435297357772004
0.58 0.5190543431644821 0.3904494671869313 0.015756753487448736
0.6 0.49494483518692617 0.3830678262809343 0.016426480937354455
0.62 0.47126408042165935 0.35086146132505486 0.014506706441157086
