ID ra dec shotid
4877729397819336704 161.731904 50.520892 20191207018
4877729396926040064 193.541644 51.407145 20180519009
4877729396926040064 193.541644 51.407145 20190203021
4877729413841562880 202.052209 51.394219 20190626014
4877729397819336961 162.097562 50.548568 20191225016
4877729394751193345 29.86946 0.744378 20191102016
4877729394751193345 29.86946 0.744378 20191127003
4877729394751186688 25.94219 0.660574 20181210007
4877729415181650945 201.864613 51.209342 20180416023
4877729394751188993 27.274001 0.729931 20191022018
4877729394751188993 27.274001 0.729931 20191119016
4877729394751188993 27.274001 0.729931 20191124016
4877729396923918337 170.744982 50.498036 20191230025
4877729401508265217 208.979847 52.122195 20200121017
4877729396930208001 168.752882 51.429889 20190307026
4862615765866065167 209.335723 51.650703 20190404025
4877729397823531009 161.272724 51.274192 20190202019
4877729397823531009 161.272724 51.274192 20191105025
4877729411603921665 217.284441 51.853259 20190428021
4877729413835265792 196.501855 50.714047 20200124025
4877729420965644032 22.034836 -1.068859 20191227013
4877729397817243648 165.541363 50.664693 20191225017
4862615754998408736 33.852017 -0.476448 20191101021
4877729397823529472 160.069396 51.042039 20180515007
4862615767863798027 218.606956 50.888534 20190427013
4877729431222914560 34.901923 0.258545 20191104017
4877729415185854208 210.238703 50.42343 20191225025
4877729402795864321 209.086144 51.467612 20190112030
4877729394742814208 35.453861 -0.974449 20191216014
4877729420969852417 30.320722 -0.217761 20181102011
4862615767863720194 214.540023 52.17559 20190402025
4862615787731526724 193.194426 51.35046 20180612015
4862615758496766766 169.577462 52.035902 20200127021
4877729415185850625 207.026784 51.100658 20180211019
4877729394751186177 25.662404 0.769687 20190901015
4877729400776329729 181.437782 50.820173 20190605006
4877729402802158080 211.82586 52.114294 20190426008
4877729402802158080 211.82586 52.114294 20200201027
4877729402751826432 212.95001 51.811589 20190307020
4877729430950234113 15.290189 -0.475429 20191023022
4862615754998421063 34.347358 -0.501631 20191008019
4862615755799769770 10.876257 -0.191985 20180815017
4877729420974032128 21.792929 0.605815 20191101015
4877729420974018561 13.875946 0.624098 20190929013
4877729420976143872 30.29181 0.868435 20190902010
4877729399182534912 179.06164 51.045312 20180213008
4877729399182534912 179.06164 51.045312 20180316009
4877729399182534912 179.06164 51.045312 20180411003
4862615768055313440 231.195289 51.280794 20180717010
4877729397813071616 186.443556 51.559125 20190307029
4877729411731876866 222.745486 52.219251 20190725008
4877729411731876866 222.745486 52.219251 20190802012
4862615755799704264 8.596227 -0.191219 20181103012
4862615755799704264 8.596227 -0.191219 20181107008
4877729399180440320 181.614853 50.754333 20190502022
4862615755799839402 13.444489 -0.010194 20181102009
4862615755799839402 13.444489 -0.010194 20181104012
4862615755799839402 13.444489 -0.010194 20181106008
4877729420974020609 15.052883 0.620426 20181203012
4877729420974027520 19.049114 0.599128 20190827018
4862615765866085635 210.309282 51.380762 20180510016
4862615765866085635 210.309282 51.380762 20180708005
4862615765866085635 210.309282 51.380762 20190701017
4877729397817240065 162.424047 50.221797 20191224025
4877729396928126977 184.075315 52.188653 20200127025
4877729420707670528 9.138875 0.855766 20190809015
4862615765832535304 210.579576 51.04716 20180223010
4862615765832535304 210.579576 51.04716 20180705008
4877729415179552769 200.849021 50.957412 20191225024
4862615765866061065 209.261865 51.805026 20190405031
4862615755799753380 10.407686 -0.049684 20180107002
4862615755799753380 10.407686 -0.049684 20181102007
4877729401512401408 152.824567 51.055942 20180411011
4877729396928114177 171.93507 51.561577 20190426014
4877729396772859649 162.315118 51.8513 20190104016
