detectid fwhm throughput fluxlimit_4540 shotid field n_ifu gmag_err gmag ra dec date obsid wave wave_err flux flux_err linewidth linewidth_err continuum continuum_err sn sn_err chi2 chi2_err multiframe fibnum x_raw y_raw amp chi2fib detectname expnum fiber_id ifuid ifuslot inputid noise_ratio specid weight x_ifu y_ifu combined_continuum combined_continuum_err combined_plae combined_plae_err mag_sdss_g mag_sdss_g_err plae_classification plae_sdss_g plae_sdss_g_max plae_sdss_g_min vis_class
2101630721 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 24.347692489624023 24.347692489624023 202.78463745117188 52.09987258911133 20200107 26 4821.93994140625 0.46000000834465027 9.550000190734863 1.1699999570846558 3.0399999618530273 0.44999998807907104 0.10999999940395355 0.05999999865889549 6.840000152587891 0.949999988079071 1.0700000524520874 0.2199999988079071 multi_020_095_004_RL 65 668 581 RL 1.0784592628479004 "HETDEX J133108.31+520559.5" 2 20200107026_2_multi_020_095_004_RL_065 004 095 20200107v026_020_095_004_009 1.2899999618530273 020 0.4410000145435333 -2.5399999618530273 -19.829999923706055 6.519347483630026e-19 8.90254943717786e-20 83.40804290771484 223.98348999023438 24.347692489624023 0.13481378555297852 0.9432076811790466 12.818398475646973 29.928525924682617 7.246968746185303 5
2101630773 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 27.031713485717773 27.031713485717773 202.65745544433594 52.05573272705078 20200107 26 4806.7001953125 0.38999998569488525 7.559999942779541 1.090000033378601 2.2200000286102295 0.3700000047683716 -0.07999999821186066 0.07000000029802322 6.090000152587891 1.0099999904632568 1.0099999904632568 0.23000000417232513 multi_027_098_001_RU 19 666 183 RU 0.9095531702041626 "HETDEX J133037.79+520320.6" 2 20200107026_2_multi_027_098_001_RU_019 001 098 20200107v026_027_098_001_001 1.2599999904632568 027 0.299699991941452 -22.8799991607666 24.239999771118164 8.964271974275948e-20 2.7963205083812507e-19 1000.0 0.0 27.031713485717773 2.1825501918792725 0.9990010261535645 1000.0 1000.0 1000.0 5
2101630838 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.875307083129883 26.875307083129883 202.82785034179688 52.10466766357422 20200107 26 4248.91015625 0.5400000214576721 8.460000038146973 1.5700000524520874 2.2899999618530273 0.5199999809265137 -0.20999999344348907 0.09000000357627869 5.510000228881836 0.949999988079071 1.0099999904632568 0.23000000417232513 multi_032_094_028_LL 23 384 217 LL 0.7047772407531738 "HETDEX J133118.68+520616.8" 2 20200107026_2_multi_032_094_028_LL_023 028 094 20200107v026_032_094_028_079 1.1799999475479126 032 0.26840001344680786 -7.630000114440918 -2.200000047683716 1.2507094938893661e-19 3.0896224684742446e-19 1000.0 0.0 26.875307083129883 1.4743908643722534 0.9990010261535645 1000.0 1000.0 1000.0 5
2101630898 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.65593147277832 26.65593147277832 202.7997283935547 52.070072174072266 20200107 26 4445.64013671875 0.550000011920929 11.079999923706055 1.4299999475479126 3.680000066757202 0.5799999833106995 -0.15000000596046448 0.07000000029802322 5.980000019073486 0.9100000262260437 1.0099999904632568 0.23000000417232513 multi_051_105_051_LL 82 481 755 LL 1.8097822666168213 "HETDEX J133111.93+520412.3" 1 20200107026_1_multi_051_105_051_LL_082 051 105 20200107v026_051_105_051_002 1.440000057220459 051 0.39320001006126404 -8.899999618530273 -8.8100004196167 1.053172559757109e-19 2.9484752121815517e-19 1000.0 0.0 26.65593147277832 1.0126638412475586 0.9990010261535645 1000.0 1000.0 1000.0 5
2101630991 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 27.590730667114258 27.590730667114258 202.85780334472656 52.22893142700195 20200107 26 4099.89013671875 0.6100000143051147 7.920000076293945 1.5499999523162842 2.4200000762939453 0.5699999928474426 -0.009999999776482582 0.09000000357627869 5.599999904632568 0.9399999976158142 1.0299999713897705 0.2199999988079071 multi_301_052_072_RL 47 300 427 RL 1.5098356008529663 "HETDEX J133125.87+521344.2" 2 20200107026_2_multi_301_052_072_RL_047 072 052 20200107v026_301_052_072_001 1.0 301 0.33899998664855957 17.799999237060547 6.610000133514404 1.322761319639739e-19 3.181137078556166e-19 1000.0 0.0 27.590730667114258 -999.9990234375 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631012 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 27.286319732666016 27.286319732666016 202.63824462890625 52.23903274536133 20200107 26 5174.97021484375 0.9100000262260437 8.59000015258789 1.7400000095367432 4.309999942779541 0.9800000190734863 -0.10000000149011612 0.07999999821186066 5.539999961853027 0.8899999856948853 0.9900000095367432 0.2199999988079071 multi_302_036_041_LL 47 848 444 LL 1.2090857028961182 "HETDEX J133033.18+521420.5" 2 20200107026_2_multi_302_036_041_LL_047 041 036 20200107v026_302_036_041_004 1.0299999713897705 302 0.3249000012874603 -19.06999969482422 -4.409999847412109 1.864849998173303e-19 3.426922682336817e-19 83.31843566894531 916.6815795898438 27.286319732666016 1.5092207193374634 0.9881402254104614 1000.0 1000.0 1000.0 5
2101631033 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 24.9444522857666 24.9444522857666 202.74851989746094 52.24002456665039 20200107 26 4695.7998046875 0.28999999165534973 19.329999923706055 1.5299999713897705 2.990000009536743 0.27000001072883606 0.15000000596046448 0.07999999821186066 11.859999656677246 0.8999999761581421 1.0199999809265137 0.2199999988079071 multi_304_044_045_LU 60 602 540 LU 1.441644549369812 "HETDEX J133059.64+521424.1" 1 20200107026_1_multi_304_044_045_LU_060 045 044 20200107v026_304_044_045_002 1.2200000286102295 304 0.38749998807907104 10.170000076293945 -19.829999923706055 5.649882432139054e-19 3.089939382046429e-19 1000.0 0.0 24.9444522857666 0.24569538235664368 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631048 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 24.92608642578125 24.92608642578125 202.73313903808594 52.256385803222656 20200107 26 4735.39990234375 0.30000001192092896 21.989999771118164 1.4500000476837158 4.03000020980835 0.3199999928474426 0.1599999964237213 0.05999999865889549 13.350000381469727 0.9700000286102295 1.0299999713897705 0.2199999988079071 multi_305_034_056_RU 108 623 981 RU 1.028590440750122 "HETDEX J133055.95+521523.0" 3 20200107026_3_multi_305_034_056_RU_108 056 034 20200107v026_305_034_056_001 1.309999942779541 305 0.4609000086784363 -1.2699999809265137 13.220000267028809 3.9751583467974156e-19 2.6026364264459007e-19 1000.0 0.0 24.92608642578125 0.193563774228096 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631109 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.30083656311035 26.30083656311035 202.78372192382812 52.27263259887695 20200107 26 3676.72998046875 0.7099999785423279 18.270000457763672 3.069999933242798 3.619999885559082 0.6700000166893005 -0.1599999964237213 0.15000000596046448 6.130000114440918 0.8799999952316284 0.8999999761581421 0.2199999988079071 multi_310_033_002_RL 103 95 932 RL 1.1870638132095337 "HETDEX J133108.09+521621.5" 2 20200107026_2_multi_310_033_002_RL_103 002 033 20200107v026_310_033_002_003 1.0499999523162842 310 0.3978999853134155 24.149999618530273 0.0 8.050259757130785e-19 3.0657965649054204e-19 1000.0 0.0 26.30083656311035 0.8568429946899414 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631122 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 24.80608367919922 24.80608367919922 202.8071746826172 52.22533416748047 20200107 26 4853.47998046875 0.5799999833106995 8.619999885559082 1.4199999570846558 2.740000009536743 0.5099999904632568 0.12999999523162842 0.07999999821186066 5.949999809265137 0.9399999976158142 0.9900000095367432 0.2199999988079071 multi_311_053_025_LU 80 694 732 LU 1.777080774307251 "HETDEX J133113.72+521331.2" 2 20200107026_2_multi_311_053_025_LU_080 025 053 20200107v026_311_053_025_003 1.1100000143051147 311 0.30059999227523804 8.899999618530273 -22.030000686645508 6.545926347675004e-19 9.40055352496541e-20 34.47768783569336 91.06626892089844 24.80608367919922 0.2501815855503082 0.9278050065040588 64.54988861083984 408.7098388671875 14.214607238769531 5
