shotid field objid date obsid ra dec pa n_ifu fwhm_virus fwhm_virus_err response_4540 ambtemp datevobs dewpoint exptime humidity mjd nstars_fit_fwhm obsind pressure structaz time trajcdec trajcpa trajcra shot_flag fluxlimit_4550
20200107026 dex-spring DEXsp0584 20200107 26 202.751447 52.190141 68.457611 62 1.2900540828704834 0.11868377029895782 0.11949999630451202 4.515555381774902 20200107v026 -17.283823013305664 367.8924255371094 14.267000198364258 58855.46875 24 1 808.6017456054688 40.90287399291992 1115351 52.190242767333984 66.8705825805664 202.75228881835938 True 1.606896e-17
20200124019 dex-spring DEXsp1920 20200124 19 174.636094 50.629207 71.984927 63 1.2943726778030396 0.09896326810121536 0.11110000312328339 6.860555648803711 20200124v019 -5.07277774810791 368.1097412109375 39.321998596191406 58872.296875 8 1 802.0321655273438 44.294281005859375 0706357 50.63006591796875 70.53569793701172 174.6356201171875 True 2.079226e-17
20200124020 dex-spring DEXsp2213 20200124 20 166.79424 50.513886 71.980328 63 1.2490906715393066 0.06555571407079697 0.1388999968767166 6.756111145019531 20200124v020 -4.982222080230713 367.6995544433594 40.084999084472656 58872.3125 16 1 802.0321655273438 44.294281005859375 0731215 50.51378631591797 70.53569793701172 166.7935791015625 True 1.579321e-17
20200228022 dex-spring DEXsp3169 20200228 22 207.513024 51.495531 71.418257 65 1.2564032077789307 0.09825871139764786 0.1080000028014183 7.413888931274414 20200228v022 -16.14983367919922 368.0489501953125 18.577999114990234 58907.3359375 19 1 807.4503784179688 43.69404602050781 0803349 51.495182037353516 69.90151977539062 207.51321411132812 True 1.835785e-17
20200228026 dex-spring DEXsp1974 20200228 26 173.756691 50.755281 291.618201 65 1.280174970626831 0.12612511217594147 0.12710000574588776 6.728333473205566 20200228v026 -13.265832901000977 367.9566955566406 19.820999145507812 58907.4140625 23 1 807.31494140625 316.3101501464844 0956385 50.754695892333984 290.1357727050781 173.75625610351562 True 1.843428e-17
20200228027 dex-spring DEXsp1709 20200228 27 181.934253 50.590361 291.323321 65 1.2213459014892578 0.0704362690448761 0.1014999970793724 6.850555419921875 20200228v027 -13.550555229187012 367.4420471191406 19.246999740600586 58907.43359375 19 1 807.31494140625 316.0030822753906 1021351 50.58993148803711 289.8107604980469 181.93521118164062 True 1.976582e-17
20200228028 dex-spring DEXsp2165 20200228 28 172.155292 51.457607 291.223726 65 1.2776600122451782 0.154957577586174 0.08919999748468399 6.8938889503479 20200228v028 -13.718111038208008 367.8254089355469 18.83300018310547 58907.44921875 24 1 807.31494140625 316.0032043457031 1044582 51.45747375488281 289.81085205078125 172.15557861328125 True 2.89941e-17
20200228029 dex-spring DEXsp1710 20200228 29 182.713426 50.679614 291.316176 65 1.2052536010742188 0.014943121001124382 0.09600000083446503 7.029444217681885 20200228v029 -13.633889198303223 427.6823425292969 18.673999786376953 58907.46484375 16 1 807.4503784179688 316.0032043457031 1109278 50.679317474365234 289.81085205078125 182.71292114257812 True 4.249094e-17
20200425010 dex-spring DEXsp1321 20200425 10 186.087445 55.871358 59.925764 70 1.2387948036193848 0.08292949944734573 0.1088000014424324 20.83277702331543 20200425v010 -6.106666564941406 367.6494445800781 13.86400032043457 58964.13671875 25 1 801.6257934570312 33.7646369934082 0317088 55.871829986572266 58.4191780090332 186.08799743652344 True 1.789373e-17
20200425013 dex-spring DEXsp1369 20200425 13 204.38459 55.975746 59.992352 70 1.251691222190857 0.10275988280773163 0.10409999638795853 20.13222312927246 20200425v013 -5.753333568572998 367.982177734375 14.85200023651123 58964.1875 25 1 802.2014770507812 33.7645378112793 0430014 55.976139068603516 58.41905212402344 204.3856658935547 True 1.921662e-17
20200430025 dex-spring DEXsp7110 20200430 25 224.080882 53.748598 299.62534 70 1.2906110286712646 0.12330178171396255 0.121799997985363 13.078332901000977 20200430v025 -0.8372222185134888 367.715087890625 34.393001556396484 58969.41796875 27 1 806.3667602539062 323.2500305175781 1000074 53.74768829345703 297.9415283203125 224.08078002929688 True 1.681674e-17
20200430026 dex-spring DEXsp7164 20200430 26 228.974358 53.458165 299.631537 70 1.2717283964157104 0.1764289140701294 0.10409999638795853 12.987222671508789 20200430v026 -1.380555510520935 367.574951171875 33.374000549316406 58969.43359375 25 1 806.3667602539062 323.2500305175781 1024108 53.458251953125 297.9415283203125 228.9735870361328 True 1.810968e-17
20200514021 dex-spring DEXsp1266 20200514 21 187.028618 55.65769 303.265452 70 1.2276053428649902 0.055862586945295334 0.09399999678134918 19.12611198425293 20200514v021 -4.982222080230713 367.5838317871094 15.887999534606934 58983.27734375 8 1 800.169677734375 326.3252258300781 0641147 55.65755081176758 301.72015380859375 187.0275421142578 True 2.033194e-17
20200626016 dex-spring DEXsp7175 20200626 16 230.675762 53.234764 296.974196 71 1.2604535818099976 0.10521853715181351 0.15369999408721924 20.10388946533203 20200626v016 9.031110763549805 427.6661376953125 46.53300094604492 59026.24609375 43 1 804.6397094726562 321.00201416015625 0554075 53.23436737060547 295.3103942871094 230.67611694335938 True 1.382779e-17
