ra dec shotid ifuslot amp wl fibnum detectid cat cat2 gmag flux fwhm
9.643585205078125 0.169063001871109 20190101011 83 RL 3706.860107421875 21 1000544359 good good 24.093748094048827 36.56999969482422 3.640000104904175
9.768265724182129 0.030470000579953194 20190101011 21 LU 4950.330078125 83 1000544865 good good 27.43841214393505 16.110000610351562 2.5
16.08231544494629 0.2577889859676361 20190101012 87 LL 3969.330078125 96 1000545242 good good 26.15701859556809 12.180000305175781 2.799999952316284
34.13243103027344 0.19880099594593048 20190101015 75 RL 4865.5 52 1000548136 good good 25.072259921920484 12.319999694824219 3.7799999713897705
35.665794372558594 0.5130710005760193 20190101016 27 RU 4689.41015625 30 1000548775 good good 24.05125761196956 9.84000015258789 2.2200000286102295
192.4388427734375 50.885284423828125 20190104022 76 LU 4490.2900390625 87 1000553900 good good 24.224279555187074 14.479999542236328 4.400000095367432
192.3290252685547 50.997928619384766 20190104022 27 RU 4316.47998046875 112 1000554313 good good 24.263446263461034 14.529999732971191 4.409999847412109
198.64488220214844 51.39971923828125 20190104023 94 RU 4452.10009765625 104 1000555255 good good nan 16.0 2.940000057220459
198.5599822998047 51.626644134521484 20190104023 13 LU 4273.64990234375 60 1000555505 good maybe 23.340908828491834 24.43000030517578 3.359999895095825
198.44482421875 51.5650634765625 20190104023 26 LL 4129.97998046875 3 1000555699 good good 25.414866404113866 12.119999885559082 2.740000009536743
198.5089569091797 51.3724479675293 20190104023 97 LL 4932.97998046875 5 1000555783 good good 26.799044793853767 25.270000457763672 4.039999961853027
204.53038024902344 51.416019439697266 20190104024 93 LU 3970.43994140625 5 1000556122 good good 23.89041634554866 21.479999542236328 3.630000114440918
204.42930603027344 51.41228103637695 20190104024 85 RU 5303.0400390625 56 1000556516 good good 24.549193726643 7.829999923706055 3.3399999141693115
210.1220703125 51.89031219482422 20190104025 21 RL 4945.31982421875 31 1000557983 good good 26.177530018185912 15.09000015258789 2.859999895095825
209.97747802734375 51.70802307128906 20190104025 76 RL 4494.169921875 43 1000557999 good good 24.160773368404364 22.299999237060547 3.7899999618530273
209.9635467529297 51.68067932128906 20190104025 87 LL 4594.3798828125 73 1000558017 good good 26.11646983966624 9.970000267028809 3.299999952316284
209.88427734375 51.80715560913086 20190104025 37 RL 3824.47998046875 89 1000558105 good good 23.93548445525817 38.79999923706055 5.630000114440918
10.887643814086914 0.4456230103969574 20190105011 34 LL 3856.389892578125 90 1000560577 good good 23.8183977688016 10.720000267028809 2.6600000858306885
10.881326675415039 0.3977859914302826 20190105011 22 RU 4542.7998046875 37 1000560632 good good 24.726226174106543 15.25 3.9700000286102295
10.70466423034668 0.5227389931678772 20190105011 103 LL 5090.31982421875 14 1000560946 good good 26.28539263543907 18.309999465942383 3.640000104904175
10.904617309570312 0.47795799374580383 20190105011 35 LL 4994.72021484375 44 1000560949 good good 23.71555091629211 13.529999732971191 2.7100000381469727
10.793211936950684 0.5115900039672852 20190105011 74 RL 4405.89013671875 98 1000560971 good good 24.66415612465471 9.460000038146973 2.75
10.754515647888184 0.49862900376319885 20190105011 83 LL 4301.89990234375 20 1000561021 good good 25.195605775664568 15.6899995803833 2.880000114440918
10.809845924377441 0.4297710061073303 20190105011 52 RL 4202.18994140625 108 1000561043 good good 24.810191204717267 22.139999389648438 5.360000133514404
22.619855880737305 0.1731570065021515 20190105012 27 LU 4242.740234375 37 1000561097 good good 26.54949152490701 9.949999809265137 2.7300000190734863
22.489458084106445 0.12271899729967117 20190105012 53 RL 4805.8798828125 52 1000562169 good good 24.85320880370262 11.75 4.0
22.565582275390625 0.1477539986371994 20190105012 35 RL 4256.6201171875 37 1000562292 good good 23.869607819004756 22.3700008392334 3.4600000381469727
25.507837295532227 0.5654360055923462 20190105013 86 RL 4770.56982421875 26 1000562620 good good 24.66452934417027 6.889999866485596 2.5
25.508258819580078 0.5007969737052917 20190105013 74 LL 4833.16015625 89 1000563076 good good 25.373743692120886 7.199999809265137 2.9100000858306885
25.586740493774414 0.46436798572540283 20190105013 44 LU 5054.39990234375 66 1000563183 good maybe 24.587515251740886 9.170000076293945 3.7100000381469727
25.585386276245117 0.42487600445747375 20190105013 33 RU 5418.490234375 99 1000563195 good good 25.803364502223086 13.899999618530273 3.809999942779541
25.617948532104492 0.5388180017471313 20190105013 47 RU 4571.56005859375 66 1000563234 good good 24.0434538174876 8.600000381469727 3.450000047683716
31.350317001342773 0.46873900294303894 20190105014 63 RU 4652.47998046875 42 1000563531 good good 26.08874951111624 36.470001220703125 3.5799999237060547
31.2569580078125 0.5281280279159546 20190105014 103 RU 5343.6201171875 68 1000563558 good good 25.420030725978307 14.430000305175781 2.8499999046325684
31.31151580810547 0.5578669905662537 20190105014 95 LL 4275.830078125 24 1000563760 good good 24.227850416862143 33.959999084472656 4.909999847412109
31.40623664855957 0.43997201323509216 20190105014 43 LL 4824.3798828125 56 1000563822 good good 23.65358712872694 11.239999771118164 2.9100000858306885
31.277740478515625 0.5558900237083435 20190105014 104 RL 5250.85986328125 102 1000563851 good good 23.106229099244754 19.68000030517578 3.1500000953674316
35.35994338989258 0.49646899104118347 20190105015 36 LU 3824.179931640625 82 1000564220 good good 24.78841421274387 20.75 2.9000000953674316
150.25169372558594 2.2931790351867676 20190105022 43 LU 4195.47998046875 91 1000567392 good maybe 25.357576620596323 11.229999542236328 3.509999990463257
150.0942840576172 2.223828077316284 20190105022 104 LL 3609.889892578125 101 1000567459 good good 25.41144576201884 26.190000534057617 3.890000104904175
